"Reference","Sheet","Function","Current EBOM Status","Prototype Population Status","Reason","Required For First Power-Up","Required For Functional Testing","Required For Safety Testing","Required For USB Programming","Required For Motion Testing","Required For Expansion Testing","Installation Phase"
"R509","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R510","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R511","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R512","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R513","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R514","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R515","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R516","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R517","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R518","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R519","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R520","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R521","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R522","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R523","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R524","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R525","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R526","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R527","05_Motor_Interfaces","100 kΩ U503 PERMIT fail-low input bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R528","05_Motor_Interfaces","100 kΩ U503 INHIBIT fail-high input bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"U501","05_Motor_Interfaces","SN74LVC-Q1: R_OK = RPWM AND NOT LPWM; L_OK = LPWM AND NOT RPWM; enables pass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"U502","05_Motor_Interfaces","SN74LVC-Q1: R_OK = RPWM AND NOT LPWM; L_OK = LPWM AND NOT RPWM; enables pass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"U503","05_Motor_Interfaces","SN74LVC-Q1: EN = PERMIT AND NOT INHIBIT; disagreement disables","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"U504","05_Motor_Interfaces","SN74LXC4T245-class Axis 1; A→B, Ioff","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"U505","05_Motor_Interfaces","SN74LXC4T245-class Axis 2; A→B, Ioff","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"C601","06_Relay_MasterInhibit","Timing capacitor — value set from selected watchdog equation","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"D601","06_Relay_MasterInhibit","Schottky + 12 V / 500 mW zener series flyback clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"K601","06_Relay_MasterInhibit","Omron G5Q-1 DC5-class, 5 V / 80 mA provisional","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"Q601","06_Relay_MasterInhibit","2N7002P-class, 60 V logic N-MOSFET","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R601","06_Relay_MasterInhibit","100 kΩ WDI fail-low / open-route bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R602","06_Relay_MasterInhibit","100 Ω gate resistor","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R603","06_Relay_MasterInhibit","100 kΩ MOSFET gate default-OFF bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R604","06_Relay_MasterInhibit","100 kΩ MAIN_POWER_GOOD fail-low","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R605","06_Relay_MasterInhibit","100 kΩ RESET_VALID fail-low","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R606","06_Relay_MasterInhibit","100 kΩ STOP_HW_INHIBIT fail-high","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R607","06_Relay_MasterInhibit","100 kΩ RELAY_CMD_MCU fail-low","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R608","06_Relay_MasterInhibit","100 kΩ WATCHDOG_VALID fail-low","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R609","06_Relay_MasterInhibit","100 kΩ ACTUATOR_PERMIT fail-low","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"R610","06_Relay_MasterInhibit","100 kΩ MASTER_INHIBIT fail-high","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"U601","06_Relay_MasterInhibit","Independent window watchdog + 2-edge qualifier/latch, 250 ms max","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"U602","06_Relay_MasterInhibit","Fail-safe four-condition authorization logic","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"U603","06_Relay_MasterInhibit","RELAY_CMD_MCU AND ACTUATOR_PERMIT","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage G - relay and motion outputs"
"C701","07_UI_Peripherals","100 nF X7R ±10% expander reset delay","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"C702","07_UI_Peripherals","100 nF +/-10% X7R >=10 V; U706 VCCA bypass","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"C703","07_UI_Peripherals","100 nF +/-10% X7R >=10 V; U706 VCCB bypass","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"C704","07_UI_Peripherals","100 nF +/-10% X7R >=10 V; U707 VCCA bypass","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"C705","07_UI_Peripherals","100 nF +/-10% X7R >=10 V; U707 VCCB bypass","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"Q701","07_UI_Peripherals","2N7002-class open-drain reset; 100k core pull-up asserts reset by default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"R701","07_UI_Peripherals","100 kΩ ±1% expander reset pull-up","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"R702","07_UI_Peripherals","4.70 kΩ ±1% I2C SDA pull-up; Sheet 07 base-bus owner","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"R703","07_UI_Peripherals","4.70 kΩ ±1% I2C SCL pull-up; Sheet 07 base-bus owner","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"R704","07_UI_Peripherals","100 kOhm +/-1%; EN fail-low; >=0.063 W","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"R705","07_UI_Peripherals","100 kOhm +/-1%; EN fail-low; >=0.063 W","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"TP701","07_UI_Peripherals","UI_VCC DFT node","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"TP702","07_UI_Peripherals","OLED_VCC DFT node","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"TP703","07_UI_Peripherals","I2C_SDA DFT node","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"TP704","07_UI_Peripherals","I2C_SCL DFT node","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"TP705","07_UI_Peripherals","ENCODER_A_COND DFT node","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U701","07_UI_Peripherals","3ch active-low panel encoder conditioner; 10k/1k/10nF; UI-valid gated","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U702","07_UI_Peripherals","TCA9535-class, +3V3_CORE, address 0x20, power-up inputs/high-Z","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U703","07_UI_Peripherals","4x 60 V logic NMOS; 100Ω gates; 100kΩ gate pull-downs; buzzer clamp provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U704","07_UI_Peripherals","2.42-inch SSD1309 OLED reference; exact module/J6 deferred","NOT YET FROZEN","DOCUMENTATION ONLY","Logical or external-module boundary; no board component may be inferred.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U705","07_UI_Peripherals","BME280 environmental sensor reference; exact module/J7 deferred","NOT YET FROZEN","DOCUMENTATION ONLY","Logical or external-module boundary; no board component may be inferred.","NO","NO","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U706","07_UI_Peripherals","One physical 3.3 V dual-supply I2C buffer; 100 kHz; EN low isolates; Ioff <=10 uA; tpd <=1 us (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"U707","07_UI_Peripherals","One physical 3.3 V dual-supply I2C buffer; 100 kHz; EN low isolates; Ioff <=10 uA; tpd <=1 us (TBD exact)","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage E - UI and sensor branches"
"C801","08_Expansion","100 nF X7R ±10% local buffer decoupling","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"C802","08_Expansion","10 µF X7R accessory-bias reservoir; within ICD-001 22 µF load cap limit","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"C803","08_Expansion","100 nF X7R ±10% core-side buffer decoupling","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"C804","08_Expansion","100 nF X7R ±10% U801 VDD bypass","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"C805","08_Expansion","10 nF Â±10% X7R - TPS3899 CTR; 6.2 ms nominal","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"D801","08_Expansion","J10 SDA low-capacitance TVS provision; IEC 61000-4-2 target","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"D802","08_Expansion","J10 SCL low-capacitance TVS provision; IEC 61000-4-2 target","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"D803","08_Expansion","EXPANSION_VCC local ESD/reverse-injection provision; final part coordinated with Sheet 09","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"FB801","08_Expansion","Accessory-bias filter bead — impedance/current rating pending protection part selection","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R801","08_Expansion","100 kΩ ±1% segment-enable fail-low bias","FROZEN","POPULATE - REQUIRED","Current EBOM row is FROZEN and required by the released electrical implementation.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R802","08_Expansion","4.70 kΩ ±1% J10 SDA pull-up; Sheet 08 external-segment owner","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R803","08_Expansion","4.70 kΩ ±1% J10 SCL pull-up; Sheet 08 external-segment owner","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R804","08_Expansion","47 Ω J10 SDA series damping; final 33–100 Ω by SI verification","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R805","08_Expansion","47 Ω J10 SCL series damping; final 33–100 Ω by SI verification","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R806","08_Expansion","150 kÎ© Â±0.1%, â‰¤25 ppm/Â°C - expansion-to-SENSE upper divider","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R807","08_Expansion","31.6 kÎ© Â±0.1%, â‰¤25 ppm/Â°C - TPS3899 SENSE lower divider","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R808","08_Expansion","1.30 MÎ© Â±0.1%, â‰¤25 ppm/Â°C - output-to-SENSE feedback","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"R809","08_Expansion","4.70 kÎ© Â±1% - TPS3899 output pull-up","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"TP801","08_Expansion","EXPANSION_VCC DFT","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"TP802","08_Expansion","SEGMENT_ENABLE DFT","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"TP803","08_Expansion","INTERNAL SDA DFT","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"TP804","08_Expansion","INTERNAL SCL DFT","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"TP805","08_Expansion","J10 SDA DFT","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"TP806","08_Expansion","J10 SCL DFT","NOT YET FROZEN","DNP - DEBUG OPTION","Prototype test-access provision; physical pad definition remains part of the test-access ECO/footprint package.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"U801","08_Expansion","TPS3899DL01 adjustable supervisor; OD active-low; external 2.9/2.7 V network; 6.2 ms","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"U802","08_Expansion","Dual-supply I2C hot-swap buffer; 100 kHz; fail-disabled; no clock stretching","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","YES","Stage H - optional expansion"
"C901","09_Connectors_Test","DNP 1 nF >=1 kV shield coupling option","NOT YET FROZEN","DNP - DEFAULT","Released optional/DNP function; retain unpopulated unless a controlled prototype test requires it.","NO","NO","NO","NO","NO","NO","Stage A - bare-board inspection"
"D901","09_Connectors_Test","USB2 ESD: >=5.5V, IEC 61000-4-2, <=1pF/ch, <=100nA","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage D - USB and programming"
"D902","09_Connectors_Test","VBUS ESD: 5V working, IEC 61000-4-2; no PD voltage assumed","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage A - bare-board inspection"
"DFT1","09_Connectors_Test","T1 factory pogo logical boundary; not populated","NOT YET FROZEN","DOCUMENTATION ONLY","Logical or external-module boundary; no board component may be inferred.","NO","NO","NO","NO","NO","NO","Stage A - bare-board inspection"
"J1","09_Connectors_Test","P1/H01 controller input","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage A - bare-board inspection"
"J10","09_Connectors_Test","D1/H10 ICD-001 optional DNP; no live mate","NOT YET FROZEN","DNP - DEFAULT","Released optional/DNP function; retain unpopulated unless a controlled prototype test requires it.","NO","NO","NO","NO","NO","YES","Stage H - optional expansion"
"J13","09_Connectors_Test","U1/H13 USB2 device-UFP; full 24 contacts + shell","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage D - USB and programming"
"J2","09_Connectors_Test","M1/H02 Axis 1 logic","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","YES","NO","Stage G - relay and motion outputs"
"J3","09_Connectors_Test","M1/H03 Axis 2 logic","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","YES","NO","Stage G - relay and motion outputs"
